('哪一颗牙最后一次长出来？', '答案: 假牙')
('女超人身上哪一个洞最小？', '女超人身上哪一个洞最小？ &mdash;&mdash; 答案: 耳洞')
('牛顿因掉落苹果发现引力；如你在椰树下等被椰子打中会发现什么？', '牛顿因掉落苹果发现引力；如你在椰树下等被椰子打中会发现什么？&mdash;&mdash; 答案: 会发现这种行为很愚蠢')
('世界上最牢固的琴是什么琴？', '世界上最牢固的琴是什么琴？ &mdash;&mdash; 答案: 钢琴\u3000\u3000')
('什么黑家伙是由光造成的?', '什么黑家伙是由光造成的? &mdash;&mdash; 答案: 影子')
('小明写信时，写收信人和寄信人的地址反了，结果信寄回自己家中，不过他不花半毛又把信寄给收信人，为什么？', '小明写信时，写收信人和寄信人的地址反了，结果信寄回自己家中，不过他不花半毛又把信寄给收信人，为什么？ &mdash;&mdash; 答案: 他写上查无此人放到邮箱里')
('有甲、乙、丙三人跳伞，甲乙有带伞，丙则无，但后来反而丙没事，甲乙都有事，为什么？', '有甲、乙、丙三人跳伞，甲乙有带伞，丙则无，但后来反而丙没事，甲乙都有事，为什么？ &mdash;&mdash; 答案: 甲乙为丙办丧')
('三个人一起下田，但其中一个人却老站在那里不动手，为什么？', '三个人一起下田，但其中一个人却老站在那里不动手，为什么？ &mdash;&mdash; 答案: 那是个稻草人')
('欧美人就餐头一道菜是汤，你知道汤里经常会有什么吗？', '欧美人就餐头一道菜是汤，你知道汤里经常会有什么吗？ &mdash;&mdash; 答案: 盐')
('在我国横行着一种卡，它既不能用来坐公交，也不能用来打电话，更不能用来购物，它只会坑害千万青少年', '在我国横行着一种卡，它既不能用来坐公交，也不能用来打电话，更不能用来购物，它只会坑害千万青少年，它是什么卡？答案&amp;hellip;&amp;hellip;答题卡！')
('小赵买一张奖票,中了一等奖,去领奖却不给?', '小赵买一张奖票,中了一等奖,去领奖却不给?【 答案：还没到领奖的日期 】')
('好心的约翰去世了，天使要带他上天堂，为什么他坚决不肯去？', '好心的约翰去世了，天使要带他上天堂，为什么他坚决不肯去？ 【 答案：他有恐高症 】')
('小明的肚子明明已经胀得受不了了，为什么他还要不停地猛喝水？', '小明的肚子明明已经胀得受不了了，为什么他还要不停地猛喝水？【 答案：他掉进河里了 】')
('如果是盲人，怎么吃桔子？', '盲人都是怎么吃桔子的？【 答案：瞎掰 】')
('废除早自习会造成什么影响？', '废除早自习会造成什么影响？ 【 答案：让学生和家长可以多赖床半小时。 】\u3000\u3000')
('我们在平常生活中最常讲什么话？', '我们在平常生活中最常讲什么话？【 答案：电话 】')
('在冰天雪地的北极找不到防身的武器時该怎么办？', '在冰天雪地的北极找不到防身的武器時该怎么办？【 答案：撒泡尿制成冰剑。 】')
('要想成功的闯红灯，它的秘决在哪里？', '要想成功的闯红灯，它的秘决在哪里？ 【 答案：要等黃灯和绿灯结束才过马路 】\u3000')
('太阳爸爸和太阳妈妈生了个太阳儿子，我们应该说什么祝贺辞恭喜他们？', '太阳爸爸和太阳妈妈生了个太阳儿子，我们应该说什么祝贺辞恭喜他们？ 【 答案：生「日」快乐！ 】')
('最不听话的是谁？', '最不听话的是谁？【 答案：聋子 】')
('一种东西，东方人的短，西方人的长，结婚后女的就可以用男的这东西，和尚有但是不用它', '问：一种东西，东方人的短，西方人的长，结婚后女的就可以用男的这东西，和尚有但是不用它？\u3000\u3000答：名字。')
('妇女们在不知不觉中丢失掉的东西是什么？', '问：妇女们在不知不觉中丢失掉的东西是什么？\u3000\u3000答：美貌。')
('一个猎人有一杆猎枪只能打一米远,一只兔子离他一百米为什么别他一枪打死了?', '问：一个猎人有一杆猎枪只能打一米远,一只兔子离他一百米为什么别他一枪打死了?\u3000\u3000答：他的枪长99米。')
('早上睡过头了，结果发现是因为闹钟沒响时，你会如何？', '问：早上睡过头了，结果发现是因为闹钟沒响时，你会如何？\u3000\u3000答：叫闹钟该起床罗。')
('麒麟到了北极会变成什么?', '问：麒麟到了北极会变成什么?\u3000\u3000答：冰淇淋。')
('什么东西有五个头，但人不觉得它怪呢？', '问：什么东西有五个头，但人不觉得它怪呢？\u3000\u3000答：手，脚。')
('酸菜的妹妹是什么？', '问：酸菜的妹妹是什么？\u3000\u3000答：还是酸菜。')
('一物生来真奇怪，它是世上一盘菜', '一物生来真奇怪，它是世上一盘菜，娘死以后它才生，它死以后娘还在。(打一植物)      \u3000\u3000答案：\u3000木耳')
('为什么鹿和鸡是亲戚？', '问：为什么鹿和鸡是亲戚？？\u3000\u3000答：因为录像机（鹿像鸡）。')
('一位高僧与屠夫同时去世，为什么屠夫比高僧先升天？', '问：一位高僧与屠夫同时去世，为什么屠夫比高僧先升天？\u3000\u3000答：放下屠刀立地成佛。')
('为什么有的果树生长十几年也不结一个苹果？', '问：为什么有的果树生长十几年也不结一个苹果？\u3000\u3000答：因为那不是一棵苹果树。')
('什么东西生在山中色相同，泡在水中有绿红？', '问：什么东西生在山中色相同，泡在水中有绿红？\u3000\u3000答：茶叶。')
('早餐时，大妹吵着要吃蒸蛋，小妹则说要吃煎蛋，妈妈出来打圆场，说了一句话，却让大妹直说妈妈偏心，请问妈妈说了什么？', '早餐时，大妹吵着要吃蒸蛋，小妹则说要吃煎蛋，妈妈出来打圆场，说了一句话，却让大妹直说妈妈偏心，请问妈妈说了什么？ &mdash;&mdash; 答案: 不要争了')
('如何从一半是水，一半是油的缸中取水不取油?', '如何从一半是水，一半是油的缸中取水不取油?&mdash;&mdash; 答案: 从缸底部打个洞取水，因为水的比重比油大')
('小凯开着车子，却始终到不了目的地，为什么', '小凯开着车子，却始终到不了目的地，为什么？ &mdash;&mdash; 答案: 他开的是公园里的环行车')
('刚念幼儿园的皮皮才学英文一个月却能毫无困难地和外国人交谈，为什么', '刚念幼儿园的皮皮才学英文一个月却能毫无困难地和外国人交谈，为什么？&mdash;&mdash; 答案: 外国人用国语与他交谈')
('有种船从来没下过水，为什么还是船?\u3000', '有种船从来没下过水，为什么还是船?\u3000【 答案：是宇宙飞船 】')
('他从早上吃到下午 怎么撑不死?', '他从早上吃到下午 怎么撑不死?【 答案：他一直在吃亏 】')
('什么东西天气越热，它爬的越高?', '什么东西天气越热，它爬的越高?【 答案：温度计 】')
('什么东西力气再大的人也扛不起?', '什么东西力气再大的人也扛不起?【 答案：罪名 】')
('买来煮了它,煮好丢了它，这东西是什么?', '买来煮了它,煮好丢了它，这东西是什么?【 答案：药草 】')
('体育比赛要求运动员“更高、更快、更强”，要“向前进”，但有一种比赛只能往后推,这是什么比赛?\u3000', '体育比赛要求运动员“更高、更快、更强”，要“向前进”，但有一种比赛只能往后推,这是什么比赛?\u3000【 答案：拨河比赛 】')
('一个不会游泳的人掉进了水里却没有淹死，为什么?', '一个不会游泳的人掉进了水里却没有淹死，为什么? 【 答案：他在洗澡 】')
('有辆快速前进的赛车，在路口90度左转时，请问哪一个轮胎一定离地?', '有辆快速前进的赛车，在路口90度左转时，请问哪一个轮胎一定离地?【 答案：备胎 】')
('电和闪电最大的区别是什么?', '电和闪电最大的区别是什么?【 答案：一个收费、一个不收费 】')
('一个人想在一夜里变成百万富翁，他该怎么办?', '一个人想在一夜里变成百万富翁，他该怎么办?【 答案：做梦 】')
('什么东西裂开之后，用精密的仪器也找不到裂纹?', '什么东西裂开之后，用精密的仪器也找不到裂纹?\u3000\u3000【 答案：感情 】')
('请问英文字母有多少个?', '答案:20个.AIDS(艾滋病)死掉了,ET(外星人)飞走了.')
('姓什么的人不爱说话？', '问：姓什么的人不爱说话？\u3000\u3000答：姓金。')
('有个人走独木桥，前面来了一只老虎，后面来了只熊，这个人是怎么过去的？', '问：有个人走独木桥，前面来了一只老虎，后面来了只熊，这个人是怎么过去的？\u3000\u3000答：晕过去了。')
('身份证掉了怎么办？', '问：身份证掉了怎么办？\u3000\u3000答：捡起来。')
('什么东西使人哭笑不得？', '问：什么东西使人哭笑不得？\u3000\u3000答：口罩。')
('像糖不是糖，不能用口尝，帮你改错字，纸上来回忙。(打一学习用品)', '问：像糖不是糖，不能用口尝，帮你改错字，纸上来回忙。(打一学习用品)\u3000\u3000答：橡皮。')
('三面墙一面空小孩子在当中(打一字)', '问：三面墙一面空小孩子在当中(打一字)\u3000\u3000答：匹。')
('小时四只脚，中午两只脚，傍晚三只脚。（打三种人）', '问：小时四只脚，中午两只脚，傍晚三只脚。（打三种人）\u3000\u3000答：婴儿，青少年，老人。')
('会飞不是鸟，像鼠不是鼠。白天躲暗处，夜晚捉害虫。(打一动物)', '问：会飞不是鸟，像鼠不是鼠。白天躲暗处，夜晚捉害虫。(打一动物)\u3000\u3000答：蝙蝠。')
('点一横长，一撇飘南洋，南洋有个人，只有一寸长。(打一字)', '问：点一横长，一撇飘南洋，南洋有个人，只有一寸长。(打一字)\u3000\u3000答：府。')
('老王一天要刮四五十次脸，脸上却仍有胡子。这是什么原因？', '问：老王一天要刮四五十次脸，脸上却仍有胡子。这是什么原因？\u3000\u3000答：老王是个理发师。')
('年年有余，为什么钱还是存不起来？', '问：年年有余，为什么钱还是存不起来？\u3000\u3000答：因为年年都被炒鱿鱼。')
('为什么小伟做完10下伏地挺身后，地上多了个凹洞？', '问：为什么小伟做完10下伏地挺身后，地上多了个凹洞？\u3000\u3000答：因为他单手做伏地挺身。')
('为什麽公马跑的比母马快？', '为什麽公马跑的比母马快？\u3000\u3000答案：快马加鞭')
('世界上最小的岛是什么？', '世界上最小的岛是什么？\u3000\u3000答案：马路上的安全岛')
('一个人有三根头发，为什么他还要剪掉一根？', '一个人有三根头发，为什么他还要剪掉一根？\u3000\u3000答案：他想做三毛的哥哥')
('把8分成两半，是多少？  \u3000\u3000', '把8分成两半，是多少？ \u3000\u3000答案：0')
('国庆节的时候为什么天安门广场上连半个人都没有？', '国庆节的时候为什么天安门广场上连半个人都没有？\u3000\u3000答案：当然没有半个人，人不能算半个的！！')
('小明站在路中央，一辆时速90公里的汽车急驰而过，她却未被撞死，为什么？', '小明站在路中央，一辆时速90公里的汽车急驰而过，她却未被撞死，为什么？\u3000\u3000答案：小明站在天桥上')
('进浴室洗澡时，要先脱衣服還是裤子？', '进浴室洗澡时，要先脱衣服還是裤子？ 答案： 先关门比较好')
('为什么蝙蝠会经常倒吊着？', '为什么蝙蝠会经常倒吊着？ &mdash;&mdash; 答案: 因为它胃下垂')
('什么东西有风不动无风动？', '别人跟阿丹说她的衣服怎么没衣扣，她却不在乎，为什么？&mdash;&mdash; 答案: 因为衣服只有拉链没扣子')
('哪个门派的教徒不会撒谎啊?', '哪个门派的教徒不会撒谎啊? 答案：全真教')
('哪个聊天工具最慢?', '哪个聊天工具最慢?答案：msn (慢死呢)')
('为什么森林里总派狮子去联系事情?', '为什么森林里总派狮子去联系事情?答案：失去联络')
('包子死了，他的爸爸来找土豆报仇。土豆知道打不过，就逃啊逃。 一条河把土豆给拦住了{猜一蔬菜}', '包子死了，他的爸爸来找土豆报仇。土豆知道打不过，就逃啊逃。 一条河把土豆给拦住了{猜一蔬菜} 答案：荷兰豆')
('哪一首歌的第一句就出现了3个人?', '哪一首歌的第一句就出现了3个人?答案：我不是黄蓉 (我，布什，黄蓉)')
('丹丹是小狗的名字还是小老虎的名字?', '丹丹是小狗的名字还是小老虎的名字?答案：小老虎(虎视眈眈)')
('巧克力和西红柿打架，巧克力赢了。为什么呢?', '巧克力和西红柿打架，巧克力赢了。为什么呢?答案：因为巧克力棒')
